102,Eduardo Manostijeras,Tim Burton,1990,,DVD28
139,Ed Wood,Tim Burton,1994,,DVD35
19,El acorazado Potemkin,Sergei Eisenstein,1925,,DVD12
1011,El almirante,Andrey Kravchuk (AKA Andrei Kravchuk),2008,,DVD134
955,El americano,Anton Corbijn,2010,,DVD126
895,El amigo americano,Wim Wenders,1977,Original w subtitles,DVD102
319,El ángel exterminador,Luis Buñuel,1962,null,DVD77
187,El asesinato de Jesse James por el cobarde de Robert Ford,Andrew Dominik,2007,,DVD45
50,El aviador,Martin Scorsesse,2004,Divx,DVD19
105,El buen pastor,Robert de Niro,2006,,DVD29
3,El cabo del miedo,Martin Scorsesse,1991,,DVD1
889,El caso Bourne,Doug Liman,2002,,DVD101
330,El caso slevin,Paul McGuigan,2006,,DVD8
378,El club de la lucha,David Fincher,1999,DVD,DVD
186,El código Da Vinci,Ron Howard,2006,,DVD44
276,El color de la ambición,Herbert Ross,1991,,DVD66
29,El color púrpura,Steven Spielberg,1985,,DVD14
446,El cuarto protocolo,John McKenzie,1987,,DVD87
322,El curioso caso de Benjamin Button,David Fincher,2009,,DVD78
6,El desafío de las águilas,Brian G. Hutton,1969,,DVD10
347,El desafío - Frost contra Nixon,Ron Howard,2008,,DVD84
367,El Dia de la Bestia,Alex de la Iglesia,1995,DVD,CD'R
400,El día más largo,"Ken Annakin, Andrew Marton, Bernhard Wicki",1962,null,
4,El dilema,Michael Mann,1999,,DVD1
1012,El discurso del rey,Tom Hooper,2010,,DVD134
181,El dormilón,Woody Allen,1973,,DVD43
79,El efecto mariposa,"Eric Bress, J. MacKye Gruber",2004,,DVD24
143,El elemento del crimen,Lars Von Trier,1984,,DVD36
979,El escritor,Roman Polanski,2010,,DVD116
316,El espía,Billy Ray,2007,,DVD76
231,El espía que surgió del frío,Martin Ritt,1965,,DVD55
257,El experimento del Dr Quatermass,Val Guest,1955,,DVD61
418,El Extraño,Orson Welles,1946,Divx(4:3),CD'R
952,El final de la cuenta atrás,Don Taylor,1980,V.O.S.,DVD125
353,El fuego de la Venganza,Tony Scott,2007,,DVD86
160,El golpe,George Roy Hill,1973,,DVD4
227,El gran dictador,Charles Chaplin,1940,,DVD54
96,El gran Lebowski,Joel & Ethan Coen,1998,,DVD27
85,El gran salto,Joel & Ethan Coen,1994,,DVD25
990,El hombre de al lado,"Mariano Cohn, Gastón Duprat",2009,,DVD120
7,El hombre del tiempo,Gore Verbinski,2005,,DVD10
95,El hombre elefante,David Lynch,1980,,DVD27
8,El hombre que nunca estuvo alli,Joel & Ethan Coen,2001,,DVD10
93,El hombre que sabía demasiado,Alfred Hitchcock,1956,null,DVD27
101,El ilusionista,Neil Burger,2006,,DVD28
128,El imperio del sol,Steven Spielberg,1987,,DVD33
80,El indomable Will Hunting,Gus Van Sant,1997,,DVD24
191,El informe pelícano,Alan J. Pakula,1993,,DVD46
309,El intercambio,Clint Eastwood,2008,,DVD74
60,Elizabethtown,Cameron Crowe,2005,Xvid,DVD20
415,El Jardinero fiel,Nick Redd,2006,DVD'R,DVD
37,El jefe de todo esto,Lars Von Trier,2006,,DVD16
970,El juego de Hollywood,Robert Altman,1991,V.O.S.,DVD130
893,El laberinto del Fauno,Guillermo del Toro,2006,,DVD102
297,El ladrón de Orquídeas,Spike Jonze,2002,,DVD71
259,Ella es el partido,George Clooney,2008,,DVD62
343,El lector,Stephen Daldry,2008,,DVD83
982,El mal ajeno,Óskar Santos,2010,,DVD117
988,El manantial de la doncella,Ingmar Bergman,1960,,DVD119
228,El mensajero del miedo,John Frankenheimer,1962,,DVD54
86,El mensajero del miedo,Jonathan Demme,2004,,DVD25
890,El mito de Bourne,Paul Greengrass,2004,,DVD101
234,El navegante: una odisea en el tiempo,Vincent Ward,1988,,DVD55
243,El noveno día,Volker Schlöndorff,2004,,DVD58
54,El nuevo mundo,Terrence Malick,2006,Xvid,DVD19
132,El numero 23,Joel Schumacher,2007,,DVD34
869,El ojo de la aguja,Richard Marquand,1981,,DVD96
154,El paciente inglés,Anthony Minghella,1996,,DVD39
64,El padrino I,Francis Ford Coppola,1972,Xvid,DVD21
65,El padrino II,Francis Ford Coppola,1974,Xvid,DVD21
66,El padrino III,Francis Ford Coppola,1990,Xvid,DVD21
87,El pianista,Roman Polanski,2002,,DVD25
387,El planeta de los simios,Franklin J. Schaffner,1967,DVD,DVD
238,El poder de un dios,Peter Fleischmann,1990,,DVD56
140,El proceso Paradine,Alfred Hitchcock,1947,null,DVD36
204,El puente sobre el río Kwai,David Lean,1957,,DVD49
170,El quimérico inquilino,Roman Polanski,1976,,DVD41
403,El quinto Elemento,Luc Besson,1997,Divx(16:9),CD'R
63,El reino de los cielos,Ridley scott,2005,Xvid,DVD20
247,El Resplandor,Stanley Kubrick,1980,,DVD6
301,El rey de California,Mike Cahill,2007,,DVD72
251,El rey de la comedia,Martin Scorsesse,1982,,DVD60
97,El rey pescador,Terry Gilliam,1991,,DVD27
425,El rio de la vida,Robert Redford,1992,DVD,CD'R
374,El sargento de hierro,Clint Eastwood,1986,Divx(16:9),CD'R
120,El secreto de los hermanos Grimm,Terry Gilliam,2005,,DVD31
